In a hole in the ground there lived a hobbit. NA NA															
Instead there was a very old-looking dwarf on the step with a white beard and a scarlet hood; and he too hopped inside as soon as the door was open	just as if he had been invited. simile NA														
“I see they have begun to arrive already	” he said when he caught sight of Dwalin’s green hood hanging up. NA NA														
He hung his red one next to it	and “Balin at your service!” he said with his hand on his breast. NA NA														
“Thank you!” said Bilbo with a gasp. NA NA															
It was not the correct thing to say	but they have begun to arrive had flustered him badly. NA NA														
He liked visitors	but he liked to know them before they arrived	and he preferred to ask them himself. NA NA													
He had a horrible thought that the cakes might run short	and then he—as the host: he knew his duty and stuck to it however painful—he might have to go without. NA NA														
“Come along in	and have some tea!” he managed to say after taking a deep breath. NA NA														
“A little beer would suit me better	if it is all the same to you	my good sir	” said Balin with the white beard. NA NA												
“But I don’t mind some cake—seed-cake	if you have any.” NA NA														
“Lots!” Bilbo found himself answering	to his own surprise; and he found himself scuttling off	too	to the cellar to fill a pint beer-mug	and then to a pantry to fetch two beautiful round seed-cakes which he had baked that afternoon for his after-supper morsel. NA NA											
When he got back Balin and Dwalin were talking at the table like old friends (as a matter of fact they were brothers). simile NA															
Bilbo plumped down the beer and the cake in front of them	when loud came a ring at the bell again	and then another ring. NA NA													
“Gandalf for certain this time	” he thought as he puffed along the passage. NA NA														
But it was not. NA NA															
It was two more dwarves	both with blue hoods	silver belts	and yellow beards; and each of them carried a bag of tools and a spade. NA NA												
In they hopped	as soon as the door began to open—Bilbo was hardly surprised at all. NA NA														
“What can I do for you	my dwarves?” he said. NA NA														
“Kili at your service!” said the one. NA NA															
“And Fili!” added the other; and they both swept off their blue hoods and bowed. NA NA															
“At yours and your family’s!” replied Bilbo	remembering his manners this time. NA NA														
“Dwalin and Balin here already	I see	” said Kili. NA NA													
“Let us join the throng!” NA NA															
“Throng!” thought Mr. Baggins. NA NA															
“I don’t like the sound of that. NA NA															
I really must sit down for a minute and collect my wits	and have a drink.” NA NA														
He had only just had a sip—in the corner	while the four dwarves sat round the table	and talked about mines and gold and troubles with the goblins	and the depredations of dragons	and lots of other things which he did not understand	and did not want to	for they sounded much too adventurous—when	ding-dong-a-ling-dang	his bell rang again	as if some naughty little hobbit-boy was trying to pull the handle off. NA NA						
“Someone at the door!” he said	blinking. NA NA														
“Some four	I should say by the sound	” said Fili. NA NA													
“Besides	we saw them coming along behind us in the distance.” NA NA														
The poor little hobbit sat down in the hall and put his head in his hands	and wondered what had happened	and what was going to happen	and whether they would all stay to supper. NA NA												
Then the bell rang again louder than ever	and he had to run to the door. NA NA														
It was not four after all	it was five. NA NA														
Another dwarf had come along while he was wondering in the hall. NA NA															
He had hardly turned the knob	before they were all inside	bowing and saying “at your service” one after another. NA NA													
Dori	Nori	Ori	Oin	and Gloin were their names; and very soon two purple hoods	a grey hood	a brown hood	and a white hood were hanging on the pegs	and off they marched with their broad hands stuck in their gold and silver belts to join the others. NA NA							
Already it had almost become a throng. NA NA															
Some called for ale	and some for porter	and one for coffee	and all of them for cakes; so the hobbit was kept very busy for a while. NA NA												
A big jug of coffee had just been set in the hearth	the seed-cakes were gone	and the dwarves were starting on a round of buttered scones	when there came—a loud knock. NA NA												
Not a ring	but a hard rat-tat on the hobbit’s beautiful green door. NA NA														
Somebody was banging with a stick! NA NA															
Bilbo rushed along the passage	very angry	and altogether bewildered and bewuthered—this was the most awkward Wednesday he ever remembered. alliteration NA													
He pulled open the door with a jerk	and they all fell in	one on top of the other. NA NA													
More dwarves	four more! NA NA														
And there was Gandalf behind	leaning on his staff and laughing. NA NA														
He had made quite a dent on the beautiful door; he had also	by the way	knocked out the secret mark that he had put there the morning before. NA NA													
“Carefully! NA NA															
Carefully!” he said. NA NA															
“It is not like you	Bilbo	to keep friends waiting on the mat	and then open the door like a pop-gun! simile NA												
Let me introduce Bifur	Bofur	Bombur	and especially Thorin!” alliteration NA												
“At your service!” said Bifur	Bofur	and Bombur standing in a row. alliteration NA													
Then they hung up two yellow hoods and a pale green one; and also a sky-blue one with a long silver tassel. NA NA															
This last belonged to Thorin	an enormously important dwarf	in fact no other than the great Thorin Oakenshield himself	who was not at all pleased at falling flat on Bilbo’s mat with Bifur	Bofur	and Bombur on top of him. NA NA										
For one thing Bombur was immensely fat and heavy. NA NA															
Thorin indeed was very haughty	and said nothing about service; but poor Mr. Baggins said he was sorry so many times	that at last he grunted “pray don’t mention it	” and stopped frowning. NA NA												
“Now we are all here!” said Gandalf	looking at the row of thirteen hoods—the best detachable party hoods—and his own hat hanging on the pegs. NA NA														
“Quite a merry gathering! NA NA															
I hope there is something left for the late-comers to eat and drink! NA NA															
What’s that? NA NA															
Tea! NA NA															
No thank you! NA NA															
A little red wine	I think for me.” NA NA														
“And for me	” said Thorin. NA NA														
“And raspberry jam and apple-tart	” said Bifur. NA NA														
“And mince-pies and cheese	” said Bofur. NA NA														
“And pork-pie and salad	” said Bombur. NA NA														
“And more cakes—and ale—and coffee	if you don’t mind	” called the other dwarves through the door. NA NA													
“Put on a few eggs	there’s a good fellow!” Gandalf called after him	as the hobbit stumped off to the pantries. NA NA													
“And just bring out the cold chicken and pickles!” NA NA															
“Seems to know as much about the inside of my larders as I do myself!” thought Mr. Baggins	who was feeling positively flummoxed	and was beginning to wonder whether a most wretched adventure had not come right into his house. NA NA													
By the time he had got all the bottles and dishes and knives and forks and glasses and plates and spoons and things piled up on big trays	he was getting very hot	and red in the face	and annoyed. NA NA												
“Confusticate and bebother these dwarves!” he said aloud. NA NA															
“Why don’t they come and lend a hand?” NA NA															
Lo and behold! there stood Balin and Dwalin at the door of the kitchen	and Fili and Kili behind them	and before he could say knife they had whisked the trays and a couple of small tables into the parlour and set out everything afresh. NA NA													
Gandalf sat at the head of the party with the thirteen dwarves all round: and Bilbo sat on a stool at the fireside	nibbling at a biscuit (his appetite was quite taken away)	and trying to look as if this was all perfectly ordinary and not in the least an adventure. NA NA													
The dwarves ate and ate	and talked and talked	and time got on. NA NA													
At last they pushed their chairs back	and Bilbo made a move to collect the plates and glasses. NA NA														
“I suppose you will all stay to supper?” he said in his politest unpressing tones. NA NA															
“Of course!” said Thorin. NA NA															
“And after. NA NA															
We shan’t get through the business till late	and we must have some music first. NA NA														
Now to clear up!” NA NA															
Thereupon the twelve dwarves—not Thorin	he was too important	and stayed talking to Gandalf—jumped to their feet	and made tall piles of all the things. NA NA												
Off they went	not waiting for trays	balancing columns of plates	each with a bottle on the top	with one hand	while the hobbit ran after them almost squeaking with fright: “please be careful!” and “please	don’t trouble! I can manage.” NA NA									
But the dwarves only started to sing: NA NA															
Chip the glasses and crack the plates! NA A															
Blunt the knives and bend the forks! NA B															
That’s what Bilbo Baggins hates– NA A															
Smash the bottles and burn the corks! NA B															
Cut the cloth and tread on the fat! NA C															
Pour the milk on the pantry floor! NA D															
Leave the bones on the bedroom mat! NA C															
Splash the wine on every door! NA D															
Dump the crocks in a boiling bowl; NA E															
Pound them up with a thumping pole; NA E															
And when you’ve finished	if any are whole	NA F													
Send them down the hall to roll! NA E															
That’s what Bilbo Baggins hates! NA F															
So	carefully! carefully with the plates! NA F														
And of course they did none of these dreadful things	and everything was cleaned and put away safe as quick as lightning	while the hobbit was turning round and round in the middle of the kitchen trying to see what they were doing. simile NA													
Then they went back	and found Thorin with his feet on the fender smoking a pipe. NA NA														
He was blowing the most enormous smoke-rings	and wherever he told one to go	it went—up the chimney	or behind the clock on the mantelpiece	or under the table	or round and round the ceiling; but wherever it went it was not quick enough to escape Gandalf. NA NA										
Pop! he sent a smaller smoke-ring from his short clay-pipe straight through each one of Thorin’s. NA NA															
Then Gandalf’s smoke-ring would go green and come back to hover over the wizard’s head. NA NA															
He had a cloud of them about him already	and in the dim light it made him look strange and sorcerous. NA NA														
Bilbo stood still and watched—he loved smoke-rings—and then he blushed to think how proud he had been yesterday morning of the smoke-rings he had sent up the wind over The Hill. NA NA															
“Now for some music!” said Thorin. NA NA															
“Bring out the instruments!” NA NA															
Kili and Fili rushed for their bags and brought back little fiddles; Dori	Nori	and Ori brought out flutes from somewhere inside their coats; Bombur produced a drum from the hall; Bifur and Bofur went out too	and came back with clarinets that they had left among the walking-sticks. NA NA												
Dwalin and Balin said: “Excuse me	I left mine in the porch!” NA NA														
“Just bring mine in with you!” said Thorin. NA NA															
They came back with viols as big as themselves	and with Thorin’s harp wrapped in a green cloth. NA NA														
It was a beautiful golden harp	and when Thorin struck it the music began all at once	so sudden and sweet that Bilbo forgot everything else	and was swept away into dark lands under strange moons	far over The Water and very far from his hobbit-hole under The Hill. NA NA											
The dark came into the room from the little window that opened in the side of The Hill; the firelight flickered—it was April—and still they played on	while the shadow of Gandalf’s beard wagged against the wall. NA NA														
The dark filled all the room	and the fire died down	and the shadows were lost	and still they played on. NA NA												
And suddenly first one and then another began to sing as they played	deep-throated singing of the dwarves in the deep places of their ancient homes; and this is like a fragment of their song	if it can be like their song without their music. NA NA													
Far over the misty mountains cold NA G															
To dungeons deep and caverns old NA G															
We must away ere break of day NA H															
To seek the pale enchanted gold. NA G															
The dwarves of yore made mighty spells	NA I														
While hammers fell like ringing bells simile I															
In places deep	where dark things sleep	NA J													
In hollow halls beneath the fells. NA I															
For ancient king and elvish lord NA K															
There many a gleaming golden hoard NA K															
They shaped and wrought	and light they caught NA L														
To hide in gems on hilt of sword. NA K															
On silver necklaces they strung NA M															
The flowering stars	on crowns they hung NA M														
The dragon-fire	in twisted wire NA N														
They meshed the light of moon and sun. NA M															
Far over the misty mountains cold NA G															
To dungeons deep and caverns old NA G															
We must away	ere break of day	NA H													
To claim our long-forgotten gold. NA G															
Goblets they carved there for themselves NA O															
And harps of gold; where no man delves NA O															
There lay they long	and many a song NA P														
Was sung unheard by men or elves. NA O															
The pines were roaring on the height	NA Q														
The winds were moaning in the night. NA Q															
The fire was red	it flaming spread; NA R														
The trees like torches blazed with light. Simile Q															
The bells were ringing in the dale NA S															
And men looked up with faces pale; NA S															
The dragon’s ire more fierce than fire NA T															
Laid low their towers and houses frail. NA S															
The mountain smoked beneath the moon; NA U															
The dwarves	they heard the tramp of doom. NA U														
They fled their hall to dying fall NA V															
Beneath his feet	beneath the moon. NA U														
Far over the misty mountains grim NA W															
To dungeons deep and caverns dim NA W															
We must away	ere break of day	NA X													
To win our harps and gold from him! NA W															
As they sang the hobbit felt the love of beautiful things made by hands and by cunning and by magic moving through him	a fierce and a jealous love	the desire of the hearts of dwarves. NA NA													
Then something Tookish woke up inside him	and he wished to go and see the great mountains	and hear the pine-trees and the waterfalls	and explore the caves	and wear a sword instead of a walking-stick. NA NA											
He looked out of the window. NA NA															
The stars were out in a dark sky above the trees. NA NA															
He thought of the jewels of the dwarves shining in dark caverns. NA NA															
Suddenly in the wood beyond The Water a flame leapt up—probably somebody lighting a wood-fire—and he thought of plundering dragons settling on his quiet Hill and kindling it all to flames. NA NA															
He shuddered; and very quickly he was plain Mr. Baggins of Bag-End	Under-Hill	again. NA NA													
He got up trembling. NA NA															
He had less than half a mind to fetch the lamp	and more than half a mind to pretend to	and go and hide behind the beer-barrels in the cellar	and not come out again until all the dwarves had gone away. NA NA												
Suddenly he found that the music and the singing had stopped	and they were all looking at him with eyes shining in the dark. NA NA														
“Where are you going?” said Thorin	in a tone that seemed to show that he guessed both halves of the hobbit’s mind. NA NA														
“What about a little light?” said Bilbo apologetically. NA NA															
“We like the dark	” said all the dwarves. NA NA														
“Dark for dark business! NA NA															
There are many hours before dawn.” NA NA															
“Of course!” said Bilbo	and sat down in a hurry. NA NA														
He missed the stool and sat in the fender	knocking over the poker and shovel with a crash. NA NA														
“Hush!” said Gandalf. NA NA															
“Let Thorin speak!” NA NA															
And this is how Thorin began. NA NA															
“Gandalf	dwarves and Mr. Baggins! NA NA														
We are met together in the house of our friend and fellow conspirator	this most excellent and audacious hobbit—may the hair on his toes never fall out! all praise to his wine and ale!—” NA NA														
He paused for breath and for a polite remark from the hobbit	but the compliments were quite lost on poor Bilbo Baggins	who was wagging his mouth in protest at being called audacious and worst of all fellow conspirator	though no noise came out	he was so flummoxed. NA NA											
So Thorin went on: NA NA															
“We are met to discuss our plans	our ways	means	policy and devices. NA NA												
We shall soon before the break of day start on our long journey	a journey from which some of us	or perhaps all of us (except our friend and counsellor	the ingenious wizard Gandalf) may never return. NA NA												
It is a solemn moment. NA NA															
Our object is	I take it	well known to us all. NA NA													
To the estimable Mr. Baggins	and perhaps to one or two of the younger dwarves (I think I should be right in naming Kili and Fili	for instance)	the exact situation at the moment may require a little brief explanation—” NA NA												
This was Thorin’s style. NA NA															
He was an important dwarf. NA NA															
If he had been allowed	he would probably have gone on like this until he was out of breath	without telling any one there anything that was not known already. NA NA													
But he was rudely interrupted. NA NA															
Poor Bilbo couldn’t bear it any longer. NA NA															
At may never return he began to feel a shriek coming up inside	and very soon it burst out like the whistle of an engine coming out of a tunnel. simile NA														
All the dwarves sprang up	knocking over the table. NA NA														
Gandalf struck a blue light on the end of his magic staff	and in its firework glare the poor little hobbit could be seen kneeling on the hearth-rug	shaking like a jelly that was melting. simile NA													
Then he fell flat on the floor	and kept on calling out “struck by lightning	struck by lightning!” over and over again; and that was all they could get out of him for a long time. NA NA													
So they took him and laid him out of the way on the drawing-room sofa with a drink at his elbow	and they went back to their dark business. NA NA														
“Excitable little fellow	” said Gandalf. NA NA														
“Gets funny queer fits	but he is one of the best	one of the best—as fierce as a dragon in a pinch.” simile NA													
If you have ever seen a dragon in a pinch	you will realize that this was only poetical exaggeration applied to any hobbit	even to Old Took’s great-grand-uncle Bullroarer	who was so huge (for a hobbit) that he could ride a horse. Metaphor NA												
He charged the ranks of the goblins of Mount Gram in the Battle of the Green Fields	and knocked their king Golfimbul’s head clean off with a wooden club. NA NA														
It sailed a hundred yards through the air and went down a rabbit-hole	and in this way the battle was won and the game of Golf invented at the same moment. NA NA														
In the meanwhile	however	Bullroarer’s gentler descendant was reviving in the drawing-room. NA NA													
After a while and a drink he crept nervously to the door of the parlour. NA NA															
This is what he heard	Gloin speaking: NA NA														
“Humph!” (or some snort more or less like that). NA NA															
“Will he do	do you think? NA NA														
It is all very well for Gandalf to talk about this hobbit being fierce	but one shriek like that in a moment of excitement would be enough to wake the dragon and all his relatives	and kill the lot of us. NA NA													
I think it sounded more like fright than excitement! NA NA															
In fact	if it had not been for the sign on the door	I should have been sure we had come to the wrong house. NA NA													
As soon as I clapped eyes on the little fellow bobbing and puffing on the mat	I had my doubts. NA NA														
He looks more like a grocer than a burglar!” NA NA															
Then Mr. Baggins turned the handle and went in. NA NA															
The Took side had won. NA NA															
He suddenly felt he would go without bed and breakfast to be thought fierce. NA NA															
As for little fellow bobbing on the mat it almost made him really fierce. NA NA															
Many a time afterwards the Baggins part regretted what he did now	and he said to himself: “Bilbo	you were a fool; you walked right in and put your foot in it.” NA NA													
“Pardon me	” he said	“if I have overheard words that you were saying. NA NA													
I don’t pretend to understand what you are talking about	or your reference to burglars	but I think I am right in believing” (this is what he called being on his dignity) “that you think I am no good. NA NA													
I will show you. NA NA															
I have no signs on my door—it was painted a week ago—	and I am quite sure you have come to the wrong house. NA NA														
As soon as I saw your funny faces on the door-step	I had my doubts. NA NA														
But treat it as the right one. NA NA															
Tell me what you want done	and I will try it	if I have to walk from here to the East of East and fight the wild Were-worms in the Last Desert. NA NA													
I had a great-great-great-grand-uncle once	Bullroarer Took	and—” NA NA													
“Yes	yes	but that was long ago	” said Gloin. NA NA												
“I was talking about you. NA NA															
And I assure you there is a mark on this door—the usual one in the trade	or used to be. NA NA														
Burglar wants a good job	plenty of Excitement and reasonable Reward	that’s how it is usually read. NA NA													
You can say Expert Treasure-hunter instead of Burglar if you like. NA NA															
Some of them do. NA NA															
It’s all the same to us. NA NA															
Gandalf told us that there was a man of the sort in these parts looking for a Job at once	and that he had arranged for a meeting here this Wednesday tea-time.” NA NA														
“Of course there is a mark	” said Gandalf. NA NA														
“I put it there myself. NA NA															
For very good reasons. NA NA															
You asked me to find the fourteenth man for your expedition	and I chose Mr. Baggins. NA NA														
Just let any one say I chose the wrong man or the wrong house	and you can stop at thirteen and have all the bad luck you like	or go back to digging coal.” NA NA													
He scowled so angrily at Gloin that the dwarf huddled back in his chair; and when Bilbo tried to open his mouth to ask a question	he turned and frowned at him and stuck out his bushy eyebrows	till Bilbo shut his mouth tight with a snap. NA NA													
“That’s right	” said Gandalf. NA NA														
“Let’s have no more argument. NA NA															
I have chosen Mr. Baggins and that ought to be enough for all of you. NA NA															
If I say he is a Burglar	a Bu NA NA														
If I say he is a Burglar	a Burglar he is	or will be when the time comes. NA NA													
There is a lot more in him than you guess	and a deal more than he has any idea of himself. NA NA														
You may (possibly) all live to thank me yet. NA NA															
Now Bilbo	my boy	fetch the lamp	and let’s have a little light on this!” NA NA												
On the table in the light of a big lamp with a red shade he spread a piece of parchment rather like a map. NA NA															
“This was made by Thror	your grandfather	Thorin	” he said in answer to the dwarves’ excited questions. NA NA												
“It is a plan of the Mountain.” NA NA															
“I don’t see that this will help us much	” said Thorin disappointedly after a glance. NA NA														
“I remember the Mountain well enough and the lands about it. NA NA															
And I know where Mirkwood is	and the Withered Heath where the great dragons bred.” NA NA														
“There is a dragon marked in red on the Mountain	” said Balin	“but it will be easy enough to find him without that	if ever we arrive there.” NA NA												
“There is one point that you haven’t noticed	” said the wizard	“and that is the secret entrance. NA NA													
You see that rune on the West side	and the hand pointing to it from the other runes? NA NA														
That marks a hidden passage to the Lower Halls.” NA NA															
(Look at the map at the beginning of this book	and you will see there the runes.) NA NA														
“It may have been secret once	” said Thorin	“but how do we know that it is secret any longer? NA NA													
Old Smaug has lived there long enough now to find out anything there is to know about those caves.” NA NA															
“He may—but he can’t have used it for years and years.” NA NA															
“Why?” NA NA															
“Because it is too small. NA NA															
‘Five feet high the door and three may walk abreast’ say the runes	but Smaug could not creep into a hole that size	not even when he was a young dragon	certainly not after devouring so many of the dwarves and men of Dale.” NA NA												
“It seems a great big hole to me	” squeaked Bilbo (who had no experience of dragons and only of hobbit-holes). NA NA														
He was getting excited and interested again	so that he forgot to keep his mouth shut. NA NA														
He loved maps	and in his hall there hung a large one of the Country Round with all his favourite walks marked on it in red ink. NA NA														
“How could such a large door be kept secret from everybody outside	apart from the dragon?” he asked. NA NA														
